Ricerca nel catalogo - del 21/01/2020 17:27;;;;;;;;;;
Codice;Ean 13;Titolo;Autore;Editore;Prezzo Copertina;Codice Collana;Collana;Argomento;Linea Prodotto;Disponibilità
886380047      ;9788863800470;A MANI NUDE                        ;Greggio Simonetta             ;CORBACCIO                          ;14,60;2073;CORB ROMANZI                       ;NARRATIVA STRANIERA                ;Metà Prezzo             1;15
888649399      ;9788886493994;A ME NON MI OFFENDE NESSUNO        ;Wardetzki Barbel              ;MACRO EDIZIONI                     ;12,00;6361;MACR ESSERE FELICI                 ;SAGGISTICA                         ;Metà Prezzo             1;115
886405434      ;9788864054346;A MEGLIA PAROLA                    ;Grasso Marco                  ;DE FERRARI                         ;16,00;7613;DEFE NEWSBOOK                      ;POLITICA SOCIETA'E ATTUALITA'      ;Metà Prezzo             1;197
889906612      ;9788899066123;A META' DELL'ORIZZONTE             ;Budi Roland                   ;JACA BOOK                          ;14,00;7764;JACA CALABUIG                      ;NARRATIVA STRANIERA                ;Metà Prezzo             1;98
884744346      ;9788847443464;A MIA MOGLIE                       ;aa.vv                         ;EDICART                            ;4,50;4437;EDIC ME TO YOU                     ;SAGGISTICA                         ;Metà Prezzo             1;1656
885410832      ;9788854108325;A MIO PADRE                        ;aa.vv                         ;NEWTON COMPTON EDITORI             ;9,90;2410;NEWT I BIG                         ;POESIA E TEATRO                    ;Metà Prezzo             1;8
883848385      ;9788838483851;A MORTE IN NOME DI ALLAH           ;Eid Camille                   ;PIEMME                             ;12,50;9431;PIEM SAGGISTICA                    ;SAGGISTICA                         ;Metà Prezzo             1;15
886192026      ;9788861920262;A MORTE LE VACCHE SACRE            ;aa.vv                         ;ELLIOT                             ;16,50;4270;ELLI ANTIDOTI                      ;MANUALISTICA VARIA                 ;Metà Prezzo             1;19
886905063      ;9788869050633;A MOSCA CIECA                      ;Kellerman Faye                ;HARLEQUIN MONDADORI                ;16,00;7290;HARL HARPER COLLINS NARRATIVA      ;GIALLI THRILLER E HORROR           ;Metà Prezzo             1;1597
880980956      ;9788809809567;A NANNA ! PICCOLI AMICI            ;Wolf Matt                     ;DAMI EDITORE                       ;14,90;9517;DAM  LIBRI SONORI                  ;BAMBINI E CARTONATI                ;Metà Prezzo             1;2632
887927553      ;9788879275538;A NANNA GIACOMINO !                ;Mariniello Cecco              ;EMME                               ;6,00;2372;EMME PER COMINCIARE                ;LIBRI PER RAGAZZI                  ;Metà Prezzo             1;170
880462534      ;9788804625346;A NUDO PER TE                      ;Day Sylvia                    ;MONDADORI                          ;14,90;9420;MOND OMNIBUS                       ;NARRATIVA EROTICA                  ;Metà Prezzo             1;809
888490042      ;9788884900425;A OCCHI CHIUSI A CUORE APERTO + CD ;Lodi Gianni                   ;BALDINI CASTOLDI DALAI EDITORE     ;18,08;9724;BALD FUORI COLLANA                 ;SPORT BENESSERE                    ;Metà Prezzo             1;319
881650236      ;9788816502369;A OGNI UOMO UN SOLDO               ;Marshall Bruce                ;JACA BOOK                          ;22,00;2605;JACA MONDI LETTERARI               ;NARRATIVA STRANIERA                ;Metà Prezzo             1;140
881643321      ;9788816433212;A OXFORD DIBATTITI TEOLOGICI       ;Hoenen Maarten J.F.M.         ;JACA BOOK                          ;18,00;2720;JACA EREDITA' MEDIOEVALE           ;RELIGIONE E ANTROPOLOGIA           ;Metà Prezzo             1;146
881640801      ;9788816408012;A PARTIRE DA JACQUES DERRIDA       ;aa.vv                         ;JACA BOOK                          ;24,00;6914;JACA DI FRONTE E ATTRAVERSO FILOSOF;FILOSOFIA                          ;Metà Prezzo             1;177
